id;actor;session_uuid;object_id;score;temps;total_ecrans
1;ga2018_umbe@yopmail.com;session-20;694-vorstellung;100.00;589.00;8
2;dtic@mobiletic.com;session-33;683-programme-nescens;0.00;6194.00;2
3;dtic@mobiletic.com;session-37;678-politique-et-cadre-legal;71.00;31203.00;11
4;dtic@mobiletic.com;session-46;671-presentation;22.00;112788.00;7
5;dtic@mobiletic.com;session-52;684-informatique;0.00;841.00;4
7;dtic@mobiletic.com;session-60;688-genolier-foundation;100.00;24766.00;3
9;dtic@mobiletic.com;session-94;689-rh-prevoyance-et-evaluation;0.00;21837.00;7
10;ga2018_umbe@yopmail.com;session-109;696-strategie-und-wachstum;100.00;272.00;6
11;ga2018_uufe@yopmail.com;session-122;703-ausbildung;0.00;308.00;5
12;ga2018_uufe@yopmail.com;session-128;702-personal-vorsorge-und-mitarbeiterbeurteilung;100.00;1632.00;7
13;ga2018_mx78@yopmail.com;session-138;671-presentation;100.00;185.00;8
15;ga2018_mx78@yopmail.com;session-193;674-strategie-et-croissance;75.00;63.00;6
16;ga2018_dzfu@yopmail.com;session-206;699-die-dienstleistungen-f-r-den-patienten;42.00;421.00;18
17;ga2018_htak@yopmail.com;session-244;671-presentation;78.00;491.00;8
19;ga2018_2ob5@yopmail.com;session-305;671-presentation;100.00;337.00;8
21;ga2018_2ob5@yopmail.com;session-414;674-strategie-et-croissance;100.00;307.00;6
22;ga2018_2ob5@yopmail.com;session-448;677-affaires-medicales;80.00;387.00;12
23;ga2018_2ob5@yopmail.com;session-473;678-politique-et-cadre-legal;75.00;521.00;11
24;ga2018_2ob5@yopmail.com;session-510;681-corporate-marketing-et-communication;69.00;132.00;10
25;ga2018_2ob5@yopmail.com;session-525;683-programme-nescens;0.00;17.00;2
26;ga2018_2ob5@yopmail.com;session-528;687-la-qualite;0.00;127.00;12
27;ga2018_2ob5@yopmail.com;session-530;682-les-services-aux-patients;33.00;16996.00;18
28;ga2018_htak@yopmail.com;session-595;674-strategie-et-croissance;100.00;557.00;6
29;ga2018_htak@yopmail.com;session-621;677-affaires-medicales;80.00;368.00;12
30;ga2018_egh3@yopmail.com;session-625;671-presentation;100.00;811.00;8
31;ga2018_egh3@yopmail.com;session-720;678-politique-et-cadre-legal;100.00;894.00;11
32;ga2018_es35@yopmail.com;session-962;678-politique-et-cadre-legal;17.00;1179.00;11
33;ga2018_ech9@yopmail.com;session-1092;694-vorstellung;78.00;4836.00;8
34;ga2018_n6m4@yopmail.com;session-1093;707-corporate-marketing-e-comunicazione;25.00;202.00;10
35;ga2018_ech9@yopmail.com;session-1143;704-genolier-foundation;23.00;148.00;3
36;ga2018_ech9@yopmail.com;session-1145;723-medizinischer-bereich;100.00;1873.00;12
37;ga2018_ech9@yopmail.com;session-1148;678-politique-et-cadre-legal;46.00;1586.00;11
38;ga2018_ech9@yopmail.com;session-1224;697-corporate-marketing-und-kommunikation;85.00;675.00;10
39;ga2018_ech9@yopmail.com;session-1239;698-nescens-programm;0.00;151.00;2
40;ga2018_ech9@yopmail.com;session-1242;699-die-dienstleistungen-f-r-den-patienten;83.00;546.00;18
41;ga2018_ech9@yopmail.com;session-1268;700-die-qualitat;0.00;1175.00;12
43;ga2018_ech9@yopmail.com;session-1412;696-strategie-und-wachstum;100.00;461.00;6
44;ga2018_ech9@yopmail.com;session-1502;701-informatik;50.00;174.00;4
45;ga2018_ech9@yopmail.com;session-1507;702-personal-vorsorge-und-mitarbeiterbeurteilung;0.00;372.00;7
46;ga2018_ech9@yopmail.com;session-1537;703-ausbildung;0.00;271.00;5
47;ga2018_ech9@yopmail.com;session-1547;705-quiz-2;73.00;625.00;12
48;ga2018_ech9@yopmail.com;session-1560;706-quiz-1;69.00;1366.00;14
49;ga2018_siia@yopmail.com;session-1606;671-presentation;100.00;692.00;8
51;ga2018_siia@yopmail.com;session-1691;674-strategie-et-croissance;100.00;2364.00;6
52;ga2018_siia@yopmail.com;session-1709;677-affaires-medicales;100.00;964.00;12
53;ga2018_siia@yopmail.com;session-1726;678-politique-et-cadre-legal;100.00;1291.00;11
54;ga2018_b5zu@yopmail.com;session-1967;693-presentazione;100.00;2081.00;8
56;ga2018_umbe@yopmail.com;session-2189;723-medizinischer-bereich;100.00;579.00;12
57;ga2018_umbe@yopmail.com;session-2202;678-politique-et-cadre-legal;81.00;254.00;11
58;ga2018_umbe@yopmail.com;session-2209;697-corporate-marketing-und-kommunikation;100.00;452.00;10
59;ga2018_umbe@yopmail.com;session-2220;698-nescens-programm;0.00;59.00;2
60;ga2018_umbe@yopmail.com;session-2223;699-die-dienstleistungen-f-r-den-patienten;100.00;362.00;18
61;ga2018_umbe@yopmail.com;session-2227;705-quiz-2;100.00;338.00;12
62;ga2018_umbe@yopmail.com;session-2231;701-informatik;100.00;163.00;4
63;ga2018_umbe@yopmail.com;session-2257;702-personal-vorsorge-und-mitarbeiterbeurteilung;100.00;438.00;7
64;ga2018_umbe@yopmail.com;session-2291;703-ausbildung;0.00;218.00;5
65;ga2018_umbe@yopmail.com;session-2315;704-genolier-foundation;100.00;66.00;3
66;ga2018_umbe@yopmail.com;session-2467;700-die-qualitat;0.00;49.00;12
67;ga2018_umbe@yopmail.com;session-2630;706-quiz-1;100.00;462.00;14
68;ga2018_mx78@yopmail.com;session-2787;677-affaires-medicales;80.00;214.00;12
69;ga2018_mx78@yopmail.com;session-2805;678-politique-et-cadre-legal;81.00;252.00;11
70;ga2018_mx78@yopmail.com;session-2817;681-corporate-marketing-et-communication;67.00;166.00;10
71;ga2018_mx78@yopmail.com;session-2834;683-programme-nescens;0.00;133.00;2
72;ga2018_mx78@yopmail.com;session-2837;682-les-services-aux-patients;83.00;279.00;18
73;ga2018_mx78@yopmail.com;session-2876;687-la-qualite;0.00;373.00;12
74;ga2018_4vda@yopmail.com;session-2882;694-vorstellung;100.00;334.00;8
75;ga2018_mx78@yopmail.com;session-2893;684-informatique;50.00;130.00;4
76;ga2018_mx78@yopmail.com;session-2906;689-rh-prevoyance-et-evaluation;0.00;254.00;7
78;ga2018_mx78@yopmail.com;session-2922;690-formation;0.00;134.00;5
80;ga2018_mx78@yopmail.com;session-2931;688-genolier-foundation;100.00;62.00;3
81;ga2018_mx78@yopmail.com;session-2937;692-quiz-1;72.00;212.00;14
82;ga2018_mx78@yopmail.com;session-2974;686-quiz-2;85.00;97.00;12
83;ga2018_qhws@yopmail.com;session-3020;671-presentation;100.00;362.00;8
84;ga2018_3w64@yopmail.com;session-3026;671-presentation;100.00;2218.00;8
85;ga2018_ltwg@yopmail.com;session-3031;671-presentation;100.00;257.00;8
87;ga2018_ltwg@yopmail.com;session-3089;674-strategie-et-croissance;100.00;262.00;6
88;ga2018_ltwg@yopmail.com;session-3096;677-affaires-medicales;100.00;331.00;12
89;ga2018_ltwg@yopmail.com;session-3109;678-politique-et-cadre-legal;92.00;268.00;11
90;ga2018_ltwg@yopmail.com;session-3141;681-corporate-marketing-et-communication;100.00;224.00;10
91;ga2018_ltwg@yopmail.com;session-3171;683-programme-nescens;0.00;131.00;2
92;ga2018_ltwg@yopmail.com;session-3181;682-les-services-aux-patients;83.00;236.00;18
93;ga2018_ltwg@yopmail.com;session-3241;687-la-qualite;0.00;472.00;12
94;ga2018_ltwg@yopmail.com;session-3254;684-informatique;75.00;100.00;4
95;ga2018_ltwg@yopmail.com;session-3259;689-rh-prevoyance-et-evaluation;100.00;181.00;7
96;ga2018_ltwg@yopmail.com;session-3286;690-formation;0.00;173.00;5
97;ga2018_ltwg@yopmail.com;session-3304;688-genolier-foundation;100.00;51.00;3
98;ga2018_ltwg@yopmail.com;session-3308;692-quiz-1;100.00;257.00;14
99;ga2018_ltwg@yopmail.com;session-3351;686-quiz-2;95.00;181.00;12
100;ga2018_4vda@yopmail.com;session-3433;696-strategie-und-wachstum;75.00;318.00;6
101;ga2018_4vda@yopmail.com;session-3447;723-medizinischer-bereich;0.00;38.00;12
103;ga2018_qhws@yopmail.com;session-3504;674-strategie-et-croissance;100.00;3211.00;6
104;ga2018_htak@yopmail.com;session-3530;678-politique-et-cadre-legal;92.00;430.00;11
105;ga2018_qhws@yopmail.com;session-3562;677-affaires-medicales;100.00;151.00;12
106;ga2018_qhws@yopmail.com;session-3599;678-politique-et-cadre-legal;94.00;671.00;11
107;ga2018_htak@yopmail.com;session-3640;681-corporate-marketing-et-communication;100.00;253.00;10
108;ga2018_htak@yopmail.com;session-3651;683-programme-nescens;0.00;284.00;2
109;ga2018_dzfu@yopmail.com;session-3656;694-vorstellung;100.00;833.00;8
111;ga2018_dzfu@yopmail.com;session-3728;696-strategie-und-wachstum;100.00;532.00;6
112;dtic@mobiletic.com;session-3747;674-strategie-et-croissance;50.00;8666.00;6
113;dtic@mobiletic.com;session-3801;686-quiz-2;0.00;1072.00;12
114;ga2018_htak@yopmail.com;session-3806;682-les-services-aux-patients;100.00;290.00;18
115;ga2018_htak@yopmail.com;session-3839;687-la-qualite;0.00;754.00;12
116;ga2018_htak@yopmail.com;session-3884;684-informatique;50.00;198.00;4
117;ga2018_htak@yopmail.com;session-3889;689-rh-prevoyance-et-evaluation;100.00;250.00;7
118;ga2018_htak@yopmail.com;session-3948;690-formation;0.00;387.00;5
119;ga2018_10yr@yopmail.com;session-3997;671-presentation;100.00;384.00;8
121;ga2018_10yr@yopmail.com;session-4085;674-strategie-et-croissance;100.00;131.00;6
122;ga2018_10yr@yopmail.com;session-4101;677-affaires-medicales;100.00;104.00;12
123;ga2018_10yr@yopmail.com;session-4127;678-politique-et-cadre-legal;75.00;296.00;11
124;ga2018_10yr@yopmail.com;session-4240;681-corporate-marketing-et-communication;85.00;112.00;10
125;ga2018_10yr@yopmail.com;session-4253;683-programme-nescens;0.00;32.00;2
126;ga2018_10yr@yopmail.com;session-4256;682-les-services-aux-patients;92.00;253.00;18
127;ga2018_10yr@yopmail.com;session-4275;687-la-qualite;0.00;96.00;12
128;ga2018_10yr@yopmail.com;session-4348;684-informatique;100.00;69.00;4
129;ga2018_10yr@yopmail.com;session-4358;689-rh-prevoyance-et-evaluation;100.00;40.00;7
130;ga2018_10yr@yopmail.com;session-4374;690-formation;0.00;62.00;5
131;ga2018_10yr@yopmail.com;session-4399;688-genolier-foundation;100.00;46.00;3
132;ga2018_10yr@yopmail.com;session-4407;692-quiz-1;90.00;295.00;14
133;ga2018_10yr@yopmail.com;session-4422;686-quiz-2;95.00;229.00;12
134;ga2018_u33w@yopmail.com;session-4542;671-presentation;100.00;972.00;8
136;ga2018_u33w@yopmail.com;session-4617;674-strategie-et-croissance;75.00;1075.00;6
137;ga2018_vai0@yopmail.com;session-4627;694-vorstellung;67.00;938.00;8
139;ga2018_vai0@yopmail.com;session-4702;696-strategie-und-wachstum;75.00;82.00;6
140;ga2018_vai0@yopmail.com;session-4717;723-medizinischer-bereich;80.00;124.00;12
141;ga2018_vai0@yopmail.com;session-4730;678-politique-et-cadre-legal;0.00;16.00;11
142;ga2018_vai0@yopmail.com;session-4742;697-corporate-marketing-und-kommunikation;63.00;81.00;10
143;ga2018_vai0@yopmail.com;session-4753;698-nescens-programm;0.00;33.00;2
144;ga2018_vai0@yopmail.com;session-4767;699-die-dienstleistungen-f-r-den-patienten;58.00;105.00;18
145;ga2018_vai0@yopmail.com;session-4798;700-die-qualitat;0.00;49.00;12
146;ga2018_vai0@yopmail.com;session-4813;701-informatik;50.00;91.00;4
147;ga2018_vai0@yopmail.com;session-4824;702-personal-vorsorge-und-mitarbeiterbeurteilung;100.00;61.00;7
148;ga2018_vai0@yopmail.com;session-4840;703-ausbildung;0.00;87.00;5
149;ga2018_vai0@yopmail.com;session-4860;704-genolier-foundation;100.00;41.00;3
150;ga2018_vai0@yopmail.com;session-4868;706-quiz-1;62.00;127.00;14
151;ga2018_vai0@yopmail.com;session-4883;705-quiz-2;70.00;135.00;12
152;ga2018_u33w@yopmail.com;session-4896;677-affaires-medicales;60.00;2302.00;12
153;ga2018_u33w@yopmail.com;session-4915;678-politique-et-cadre-legal;88.00;522.00;11
154;ga2018_rm6u@yopmail.com;session-4927;677-affaires-medicales;100.00;76.00;12
155;ga2018_rm6u@yopmail.com;session-4930;682-les-services-aux-patients;100.00;118.00;18
156;ga2018_htak@yopmail.com;session-4939;688-genolier-foundation;100.00;179.00;3
157;ga2018_htak@yopmail.com;session-4946;692-quiz-1;79.00;233.00;14
158;ga2018_htak@yopmail.com;session-5001;686-quiz-2;76.00;128.00;12
159;ga2018_qhws@yopmail.com;session-5171;681-corporate-marketing-et-communication;100.00;144.00;10
160;ga2018_qhws@yopmail.com;session-5200;683-programme-nescens;0.00;17.00;2
161;ga2018_qhws@yopmail.com;session-5203;682-les-services-aux-patients;100.00;232.00;18
162;ga2018_qhws@yopmail.com;session-5277;687-la-qualite;0.00;189.00;12
163;ga2018_qhws@yopmail.com;session-5290;684-informatique;100.00;42.00;4
164;ga2018_qhws@yopmail.com;session-5304;689-rh-prevoyance-et-evaluation;100.00;117.00;7
165;ga2018_qhws@yopmail.com;session-5336;690-formation;0.00;93.00;5
166;ga2018_qhws@yopmail.com;session-5354;688-genolier-foundation;100.00;44.00;3
167;ga2018_qhws@yopmail.com;session-5362;692-quiz-1;77.00;545.00;14
168;ga2018_swv8@yopmail.com;session-5390;694-vorstellung;100.00;989.00;8
169;ga2018_nsjk@yopmail.com;session-5392;693-presentazione;100.00;186.00;8
171;ga2018_nsjk@yopmail.com;session-5502;719-strategia-e-crescita;100.00;186.00;6
172;ga2018_vy6c@yopmail.com;session-5517;716-quiz-1;73.00;466.00;14
173;ga2018_vy6c@yopmail.com;session-5546;717-quiz-2;91.00;708.00;12
175;ga2018_swv8@yopmail.com;session-5612;696-strategie-und-wachstum;100.00;1008.00;6
176;ga2018_swv8@yopmail.com;session-5725;723-medizinischer-bereich;100.00;590.00;12
177;ga2018_swv8@yopmail.com;session-5770;678-politique-et-cadre-legal;50.00;233.00;11
178;ga2018_swv8@yopmail.com;session-5802;697-corporate-marketing-und-kommunikation;100.00;286.00;10
